region,age_group,coverage_rate,report_date,gender
East,0-5 years,82.58,2023-01-06,Female
West,0-5 years,61.3,2023-08-15,Male
West,6-12 years,72.98,2023-08-11,Male
East,6-12 years,84.71,2023-08-17,Male
Centre,13-17 years,93.19,2023-10-27,Male
Centre,18+ years,98.6,2023-11-10,Male
East,18+ years,91.6,2023-11-10,Female
East,0-5 years,53.32,2023-01-14,Male
North,18+ years,53.02,2023-06-27,Female
North,18+ years,50.77,2023-05-13,Male
South,6-12 years,89.26,2023-08-22,Female
North,0-5 years,84.3,2023-09-21,Male
West,6-12 years,67.67,2023-07-27,Male
West,18+ years,67.32,2023-11-20,Female
East,0-5 years,55.07,2023-10-08,Male
North,0-5 years,96.09,2023-01-21,Female
Centre,6-12 years,51.1,2023-06-06,Female
South,6-12 years,63.65,2023-05-02,Female
North,13-17 years,62.84,2023-07-13,Female
North,18+ years,51.19,2023-10-12,Female
South,0-5 years,91.78,2023-03-25,Female
East,13-17 years,78.22,2023-05-03,Male
East,18+ years,79.38,2023-09-12,Female
West,18+ years,66.17,2023-03-19,Female
East,13-17 years,53.87,2023-06-11,Male
West,6-12 years,93.79,2023-03-05,Female
Centre,0-5 years,97.1,2023-01-13,Male
North,6-12 years,88.36,2023-10-03,Female
East,13-17 years,90.73,2023-10-03,Female
West,13-17 years,56.6,2023-12-08,Male
North,6-12 years,74.53,2023-11-10,Female
South,18+ years,61.59,2023-03-19,Male
East,0-5 years,58.26,2023-08-19,Male
North,6-12 years,93.05,2023-05-29,Female
South,13-17 years,72.21,2023-04-17,Male
West,0-5 years,91.83,2023-03-11,Male
East,18+ years,81.72,2023-09-25,Female
East,0-5 years,97.3,2023-07-18,Female
East,13-17 years,83.19,2023-12-14,Male
North,13-17 years,76.55,2023-05-24,Female
North,13-17 years,93.32,2023-03-20,Male
Centre,6-12 years,64.81,2023-07-03,Female
Centre,6-12 years,58.84,2023-11-13,Female
Centre,18+ years,54.52,2023-12-30,Female
East,0-5 years,78.08,2023-09-07,Male
South,18+ years,93.66,2023-05-16,Male
South,6-12 years,80.44,2023-10-30,Male
East,13-17 years,87.39,2023-01-21,Male
East,13-17 years,58.82,2023-01-02,Male
South,18+ years,82.37,2023-12-21,Female
Centre,13-17 years,50.07,2023-05-17,Male
West,6-12 years,86.14,2023-12-29,Female
Centre,6-12 years,94.97,2023-05-17,Female
South,13-17 years,55.29,2023-03-06,Female
East,6-12 years,62.83,2023-11-14,Female
South,18+ years,74.19,2023-04-11,Female
Centre,0-5 years,56.07,2023-09-06,Male
